politician_full_name,politician_uuid,party,office,current_value,current_reasoning,current_sources,researched_value,researched_reasoning,source_url_1,source_url_2,source_url_3,disposition
Joni Ernst,130591ca-bfd1-4691-916b-3570341b04fb,Republican,Senator,2,"Ernst broke with most Senate Republicans to vote for the $95 billion foreign aid package including $60 billion for Ukraine (February 2024), stating Congress was 'equipping America to push back against adversaries.' She has also criticized insufficient action against Russia and called Russian behavior including Crimea annexation 'totally unacceptable,' reflecting support for continuing current aid levels.",https://en.wikipedia.org/wiki/Joni_Ernst;https://www.ernst.senate.gov/priorities/national-defense,,,,,,
Lisa Murkowski,cc873a93-cb47-405a-93b0-bb2848fdd57e,Republican,Senator,2,"Murkowski is a consistent Ukraine supporter. She backed the April 2024 bipartisan $95 billion foreign aid supplemental for Ukraine, Israel, and Taiwan, which passed the Senate 79-18. She has publicly criticized the Trump administration's approach to Ukraine and expressed concern about congressional oversight of military actions. While supporting continued aid, she has not called for significantly escalating beyond current levels.",https://en.wikipedia.org/wiki/Lisa_Murkowski;https://www.cbsnews.com/news/murkowski-ukraine-aid/,,,,,,
Marsha Blackburn,808ab926-365f-4b8a-a42e-628f11ecc48e,Republican,Senator,2,"Blackburn's Senate national security page states she has been a strong voice against Russian aggression and Putin's attempts to rebuild the Soviet empire and has consistently supported measures to hold Russia accountable. She voted with the Senate on the Ukraine Lend-Lease Act (unanimous 2022) and labeled Russia part of a New Axis of Evil. Her hawkish anti-Russia stance aligns with providing current aid levels.",https://blackburn.senate.gov/national-security;https://en.wikipedia.org/wiki/Marsha_Blackburn;https://www.ontheissues.org/Senate/Marsha_Blackburn.htm,,,,,,
Mike Collins,ce8d48a3-5137-4521-81cd-8a86c0999b37,Republican,Candidate for U.S. Senate — Georgia,2,"Voted to support Ukraine military assistance; backed Ukraine aid packages as a hawkish Republican; supports US allies against Russian aggression.",https://www.ontheissues.org/Senate/Ashley_Hinson.htm,,,,,,
Mike Rounds,624e51ff-2f0f-45d0-bd57-1dfa8ad47013,Republican,Senator,2,"Rounds stated to make clear to Putin that the solution is diplomacy not invasion, reflecting support for Ukraine defense against Russian aggression. As a Senate Armed Services Committee member he has been a mainstream Republican supporter of Ukraine aid and has not aligned with the isolationist bloc seeking to cut off assistance.",https://www.ontheissues.org/Senate/Mike_Rounds.htm;https://en.wikipedia.org/wiki/Mike_Rounds,,,,,,
Mitch McConnell,f8d6555b-faea-4746-b8d8-27c41e08f4c4,Republican,Senator,2,"McConnell worked tirelessly for a year on the $95 billion Ukraine and Israel aid package (2024) despite far-right Republican resistance. His November 2024 Senate remarks criticized the Biden administration's hesitation and cowardice in Ukraine policy for not authorizing ATACMS sooner, calling for maximum military pressure on Russia. He is among the most vocal Senate Republicans supporting Ukraine.",https://www.mcconnell.senate.gov/public/index.cfm/2024/11/mcconnell-remarks-on-hesitation-half-measures-in-u-s-support-for-ukraine;https://en.wikipedia.org/wiki/Political_positions_of_Mitch_McConnell,,,,,,
Pete Ricketts,d01ea902-317a-4a66-b346-8b29a91fcd25,Republican,Senator,2,"Ricketts serves on Senate Foreign Relations Committee and criticized Biden for fumbled diplomacy with Russia advocating tougher stances. He voted Yea on a 2023 NDAA amendment establishing an Inspector General for Ukraine Assistance. His hawkish anti-Russia posture aligns with continuing strong military and economic aid to Ukraine.",https://en.wikipedia.org/wiki/Pete_Ricketts;https://ricketts.senate.gov/issues/maintaining-peace-through-strength;https://www.senate.gov/legislative/LIS/roll_call_votes/vote1181/vote_118_1_00200.htm,,,,,,
Roger Wicker,d53cbad2-d166-4f8d-87a2-f7e5ddc7a237,Republican,Senator,2,"Wicker is one of the strongest Republican supporters of Ukraine voting for every Ukraine aid package. In December 2021 he suggested considering preemptive military action against Russia and advocated for a no-fly zone over Ukraine. He voted Nay on S.J.Res. 117 (Nov 2024) rejecting a resolution that would have disapproved Ukraine debt relief. As SASC chair in 2025 he continued actively pushing for Ukraine support.",https://en.wikipedia.org/wiki/Roger_Wicker;https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00295.xml;https://wicker.senate.gov/press-releases,,,,,,
Shelley Moore Capito,6ca6aabe-6a7f-46b7-b51d-620a7f5c9913,Republican,Senator,2,"Capito criticized Biden for weak national security policies and has backed strong measures against Russia including Nord Stream 2 sanctions. Her consistent hawkish national security stance and Senate Appropriations work aligns with supporting current levels of military and economic aid for Ukraine to defend itself.",https://en.wikipedia.org/wiki/Shelley_Moore_Capito;https://capito.senate.gov/news/press-releases,,,,,,
Steve Daines,24109768-01ad-4bab-b833-b7bc1d8f437d,Republican,Senator,2,"Daines led a bipartisan Senate delegation to Poland and Germany in March 2022 calling Putin invasion good versus evil and voted YEA on the Ukraine-Israel-Taiwan supplemental aid package (Senate vote 118-2-00154 April 23 2024 passed 79-18). His hawkish foreign policy stance supports continuing current levels of military aid to Ukraine.",https://www.daines.senate.gov/news/press-releases/;https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00154.xml,,,,,,
Susan M. Collins,6b817122-f196-4b72-b0b4-2d9763c4be47,Republican,U.S. Senate - Maine,2,"Collins co-authored the bipartisan national security supplemental package (2024) providing Ukraine military and economic assistance and expressed strong criticism of Trump confrontational approach to Zelenskyy in February 2025. Her record reflects consistent support for continuing current levels of military and economic aid to help Ukraine defend itself.",https://en.wikipedia.org/wiki/Susan_Collins;https://collins.senate.gov/issues/,,,,,,
Thom Tillis,f1271c9d-fad4-4e1e-9c22-e6e2333a8a3e,Republican,Senator,2,"Tillis voted YEA on the April 2024 Ukraine/Israel/Taiwan national security supplemental package and has been a consistent supporter of providing military and economic aid to Ukraine as a national security priority; his 2024 press releases indicate continued support for Ukraine funding at current levels.",https://en.wikipedia.org/wiki/Thom_Tillis;https://tillis.senate.gov/press-releases/,,,,,,
Tim Scott,675778b0-7e6f-45ef-96b2-7bcb5d7e0af7,Republican,Senator,2,"Scott stated Our vital interest in Ukraine is degrading Russian military (November 2023) and was hawkish on Ukraine during his 2024 presidential campaign; he was listed as not voting on the April 2024 Ukraine supplemental but his stated position supports providing military and economic aid to help Ukraine defend itself against Russian aggression.",https://www.ontheissues.org/Senate/Tim_Scott.htm;https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=118&session=2&vote=00154;https://en.wikipedia.org/wiki/Tim_Scott,,,,,,
Todd Young,102b239c-0a3d-44b9-ae32-88d8179197e2,Republican,U.S. Senate - Indiana,2,"Young voted for the 2022 Ukraine aid package, stating: 'This legislation provides the Ukrainian people with urgently needed lethal aid and humanitarian assistance as they fight for their freedom.' He introduced the bipartisan Ukraine Human Rights Policy Act and called Russian actions 'genocide,' stating 'Putin and his army are committing genocide.' He is a consistent advocate for continued military and economic support.",https://www.young.senate.gov/newsroom/press-releases/young-supports-ukraine-aid-and-government-funding-package/;https://www.young.senate.gov/newsroom/press-releases/young-leads-bipartisan-bicameral-ukraine-human-rights-policy-act/;https://www.young.senate.gov/newsroom/press-releases/young-colleagues-reintroduce-ukraine-genocide-resolution/,,,,,,
Tom Cotton,0942f325-1180-4e1a-b1df-06438f1792a3,Republican,Senator,2,"Cotton voted for the December 2022 omnibus including $45 billion for Ukraine, and has been a consistent hawkish voice on Russia, voting for the Countering America's Adversaries Through Sanctions Act (2017). He co-signed a letter concerned about Trump's Syria troop withdrawal (2018). He supports continued military and economic aid to Ukraine but has not called for significantly increased commitments.",https://en.wikipedia.org/wiki/Tom_Cotton;https://www.ontheissues.org/Senate/Tom_Cotton.htm,,,,,,
